City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
27,Rikitea,PF,73.15,overcast clouds,-23.1203,-134.9692,Pension Maro'i
29,Angoche,MZ,74.34,light rain,-16.2325,39.9086,Guest House HESADA
31,Havelock,US,78.8,overcast clouds,34.8791,-76.9013,Sherwood Motel
35,Souillac,MU,74.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Campbellsville,US,79.36,broken clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
45,Westport,US,75.06,overcast clouds,41.1415,-73.3579,The Westport Inn
49,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
51,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
54,Kununurra,AU,73.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
57,Muroto,JP,75.47,overcast clouds,33.2833,134.15,Oota Ryokan
72,Salalah,OM,79.02,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
73,Namatanai,PG,79.45,light rain,-3.6667,152.4333,Seagulls Inn Namatani
83,Namibe,AO,70.81,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
88,La Ronge,CA,73.65,broken clouds,55.1001,-105.2842,Northland Motor Hotel
94,Saint-Philippe,RE,71.15,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
100,Dingle,PH,76.46,light rain,10.9995,122.6711,SEGAYA PROPERTY
102,Uvira,CD,72.72,overcast clouds,-3.4067,29.1458,Hotel Suzana
106,Guerrero Negro,MX,74.12,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
111,Atuona,PF,79.12,light rain,-9.8,-139.0333,Villa Enata
115,Naze,JP,76.42,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
116,Bay Roberts,CA,74.95,broken clouds,47.5999,-53.2648,Stonewall Inn
125,Qesarya,IL,71.24,scattered clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
127,Soyo,AO,77.59,broken clouds,-6.1349,12.3689,Hotel Mpampa
130,Roma,US,76.86,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
131,Kupang,ID,76.08,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
132,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
134,Komsomolskiy,UZ,79.52,few clouds,40.4272,71.7189,Ikathouse
135,Sao Filipe,CV,74.07,clear sky,14.8961,-24.4956,Hotel Xaguate
138,Goderich,CA,77.04,scattered clouds,43.7501,-81.7165,Harmony Inn
139,Matadi,CD,76.69,few clouds,-5.8167,13.45,Hotel Vivi Palace
145,Atambua,ID,71.42,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
147,Fort Nelson,CA,71.19,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
157,Dondo,MZ,72.91,clear sky,-19.6094,34.7431,Arco Iris
159,Eureka,US,70.12,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
166,Loikaw,MM,70.92,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
