City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nome,US,64.5011,-165.4064,38.16,69,75,19.57,broken clouds
1,Hauterive,FR,46.0901,3.4459,65.16,87,83,4.14,broken clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,70,90,13.8,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,49.5,68,88,1.01,overcast clouds
4,Jamestown,US,42.097,-79.2353,68.09,92,90,5.01,overcast clouds
5,Puerto Colombia,CO,10.9878,-74.9547,89.69,79,100,13.42,overcast clouds
6,Cedar City,US,37.6775,-113.0619,89.19,8,1,6.91,clear sky
7,Rincon,US,32.296,-81.2354,84.13,78,90,7.85,overcast clouds
8,Cayenne,GF,4.9333,-52.3333,82.09,81,75,4.0,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,57.72,62,69,1.52,broken clouds
10,Inirida,CO,3.8653,-67.9239,83.39,77,79,1.54,broken clouds
11,Barrow,US,71.2906,-156.7887,32.02,80,90,20.71,overcast clouds
12,Rovaniemi,FI,66.5,25.7167,63.81,48,0,8.05,clear sky
13,Hermanus,ZA,-34.4187,19.2345,56.8,77,100,9.31,overcast clouds
14,Yumen,CN,40.2833,97.2,61.68,10,0,2.28,clear sky
15,Chimbote,PE,-9.0853,-78.5783,68.59,74,15,10.8,few clouds
16,Uchaly,RU,54.2996,59.4521,47.07,95,91,7.4,overcast clouds
17,East London,ZA,-33.0153,27.9116,58.87,67,85,4.97,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,49.48,93,100,3.89,overcast clouds
19,Kaili,ID,-3.4626,120.2147,66.65,94,29,2.66,scattered clouds
20,Airai,TL,-8.9266,125.4092,57.61,91,46,2.98,scattered clouds
21,Savelugu,GH,9.6244,-0.8253,89.96,44,4,6.24,clear sky
22,Albany,US,42.6001,-73.9662,75.15,77,95,6.49,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,48.92,83,100,3.67,overcast clouds
24,Georgetown,MY,5.4112,100.3354,80.89,87,20,0.0,few clouds
25,Kapaa,US,22.0752,-159.319,82.38,75,40,3.0,light rain
26,Hithadhoo,MV,-0.6,73.0833,83.55,69,100,18.45,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,73.15,62,95,15.84,overcast clouds
28,Novoanninskiy,RU,50.5287,42.6747,54.23,98,100,6.22,light rain
29,Angoche,MZ,-16.2325,39.9086,74.34,80,35,4.65,light rain
30,Cape Town,ZA,-33.9258,18.4232,56.12,86,0,2.46,clear sky
31,Havelock,US,34.8791,-76.9013,78.8,88,90,5.01,overcast clouds
32,Deputatskiy,RU,69.3,139.9,60.76,38,100,5.3,overcast clouds
33,Hobart,AU,-42.8794,147.3294,49.91,68,75,1.01,broken clouds
34,Aksarka,RU,66.5606,67.7975,34.05,67,65,9.08,broken clouds
35,Souillac,MU,-20.5167,57.5167,74.35,83,40,15.08,light rain
36,Bluff,NZ,-46.6,168.3333,49.8,87,96,13.85,light rain
37,La Rioja,ES,42.25,-2.5,60.04,99,83,3.47,light rain
38,Champerico,GT,14.3,-91.9167,90.14,65,9,7.36,clear sky
39,Dakoro,NE,14.5106,6.765,94.24,17,18,10.87,few clouds
40,Busselton,AU,-33.65,115.3333,49.08,84,4,5.08,clear sky
41,Oriximina,BR,-1.7656,-55.8661,84.22,67,28,3.91,scattered clouds
42,Punta Arenas,CL,-53.15,-70.9167,35.71,87,90,12.41,light rain
43,Campbellsville,US,37.3434,-85.3419,79.36,52,60,4.0,broken clouds
44,Zhuzhou,CN,27.8333,113.15,66.33,93,100,3.71,overcast clouds
45,Westport,US,41.1415,-73.3579,75.06,90,90,1.99,overcast clouds
46,Indramayu,ID,-6.3264,108.32,81.25,81,90,9.8,overcast clouds
47,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,9.22,few clouds
48,Nuevo Progreso,MX,23.1667,-97.95,82.47,50,100,10.31,overcast clouds
49,San Cristobal,VE,7.7669,-72.225,77.18,62,75,5.37,broken clouds
50,Hilo,US,19.7297,-155.09,80.8,68,1,10.36,clear sky
51,Martapura,ID,-3.4167,114.85,75.29,94,78,1.81,broken clouds
52,Ballina,AU,-28.8667,153.5667,57.94,88,0,5.75,clear sky
53,Srednekolymsk,RU,67.45,153.6833,64.56,37,38,13.89,scattered clouds
54,Kununurra,AU,-15.7667,128.7333,73.38,49,66,5.75,broken clouds
55,Kavieng,PG,-2.5744,150.7967,81.79,76,100,4.29,overcast clouds
56,Chokurdakh,RU,70.6333,147.9167,56.12,61,100,5.19,overcast clouds
57,Muroto,JP,33.2833,134.15,75.47,93,100,26.64,overcast clouds
58,Nikolskoye,RU,59.7035,30.7861,64.29,78,20,4.9,few clouds
59,Kungurtug,RU,50.5994,97.5228,49.66,69,9,1.86,clear sky
60,Gayny,RU,60.3071,54.3241,41.68,71,0,3.94,clear sky
61,Cabo San Lucas,MX,22.8909,-109.9124,94.8,49,0,7.05,clear sky
62,Coquimbo,CL,-29.9533,-71.3436,58.73,88,75,1.39,broken clouds
63,Sitka,US,57.0531,-135.33,49.89,76,90,8.05,light rain
64,Ushuaia,AR,-54.8,-68.3,29.82,86,0,6.91,clear sky
65,George Town,MY,5.4112,100.3354,80.89,87,20,1.01,few clouds
66,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,13.8,scattered clouds
