City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-06-01 23:06:55,-46.6,168.3333,49.8,79,85,16.62
1,Mataura,NZ,2021-06-01 23:06:56,-46.1927,168.8643,49.48,94,100,3.53
2,Bredasdorp,ZA,2021-06-01 23:06:56,-34.5322,20.0403,52.32,85,26,2.93
3,Montanha,BR,2021-06-01 23:02:35,-18.1269,-40.3633,69.4,87,73,6.69
4,Christchurch,NZ,2021-06-01 23:06:57,-43.5333,172.6333,53.02,93,80,4.0
5,Butaritari,KI,2021-06-01 23:06:57,3.0707,172.7902,82.98,81,98,17.29
6,Bandarbeyla,SO,2021-06-01 23:06:58,9.4942,50.8122,79.77,79,100,21.05
7,Douentza,ML,2021-06-01 23:06:58,14.9951,-2.9517,95.45,15,97,2.28
8,Dawson Creek,CA,2021-06-01 23:06:59,55.7666,-120.2362,75.9,47,45,15.01
9,Kotido,UG,2021-06-01 23:07:00,2.9806,34.1331,68.99,59,92,6.53
10,Cherskiy,RU,2021-06-01 23:07:00,68.75,161.3,66.16,25,9,2.8
11,Port Hedland,AU,2021-06-01 23:07:01,-20.3167,118.5667,68.05,37,100,11.5
12,Ribeira Grande,PT,2021-06-01 23:07:02,38.5167,-28.7,60.33,60,64,14.27
13,Baglan,AF,2021-06-01 23:07:02,36.1307,68.7083,78.42,24,14,0.4
14,Kruisfontein,ZA,2021-06-01 23:07:03,-34.0033,24.7314,54.88,80,33,9.64
15,Hilo,US,2021-06-01 23:07:03,19.7297,-155.09,83.25,68,1,12.66
16,Punta Arenas,CL,2021-06-01 23:07:03,-53.15,-70.9167,26.71,93,0,1.41
17,Cape Town,ZA,2021-06-01 23:07:04,-33.9258,18.4232,57.11,85,6,1.99
18,Hobart,AU,2021-06-01 23:02:27,-42.8794,147.3294,52.27,72,0,5.01
19,Broken Hill,AU,2021-06-01 23:07:05,-31.95,141.4333,59.4,73,92,12.86
20,Brae,GB,2021-06-01 23:03:09,60.3964,-1.353,48.11,84,7,5.19
21,Novooleksiyivka,UA,2021-06-01 23:07:06,46.2269,34.6428,54.99,92,70,8.95
22,Rikitea,PF,2021-06-01 23:06:18,-23.1203,-134.9692,71.35,56,1,19.86
23,Ponta Do Sol,PT,2021-06-01 23:07:07,32.6667,-17.1,66.83,70,41,2.89
24,Buala,SB,2021-06-01 23:07:07,-8.145,159.5921,83.21,79,100,8.5
25,Pevek,RU,2021-06-01 23:07:08,69.7008,170.3133,37.15,72,34,3.22
26,Ushuaia,AR,2021-06-01 23:03:50,-54.8,-68.3,29.86,93,75,14.97
27,Totness,SR,2021-06-01 23:07:08,5.8833,-56.3167,76.51,91,97,8.72
28,Vaini,TO,2021-06-01 23:07:09,-21.2,-175.2,72.64,80,100,7.47
29,Luderitz,NA,2021-06-01 23:07:09,-26.6481,15.1594,62.35,39,0,10.89
30,Lebu,CL,2021-06-01 23:07:10,-37.6167,-73.65,55.67,95,100,3.13
31,Meiganga,CM,2021-06-01 23:07:10,6.5167,14.3,65.26,97,89,1.59
32,Ugoofaaru,MV,2021-06-01 23:07:11,5.6667,73.0,83.7,63,65,15.59
33,Coffeyville,US,2021-06-01 23:07:11,37.0373,-95.6164,68.45,74,90,8.05
34,Goderich,CA,2021-06-01 23:07:12,43.7501,-81.7165,70.92,73,4,1.5
35,Fortuna,US,2021-06-01 23:07:12,40.5982,-124.1573,65.93,79,1,3.0
36,Biak,ID,2021-06-01 23:07:13,-0.9131,122.8766,77.61,81,78,5.19
